,Portfolio-Value-diff,Market-based-PnL,Summe Einzel-Tages-PnL,Abweichung (Portfolio vs Market),Abweichung (Portfolio vs Summe)
2022-05-03,1015.5141929202364,1015.5141929202273,1015.5141929202274,9.094947017729282e-12,8.981260180007666e-12
2022-05-04,7623.083590629103,7623.083590629056,7623.083590629056,4.729372449219227e-11,4.729372449219227e-11
2022-05-05,-7465.945919624006,-7465.94591962402,-7465.94591962402,1.3642420526593924e-11,1.3642420526593924e-11
2022-05-06,1343.8500857587205,1343.850085758727,1343.850085758727,-6.366462912410498e-12,-6.366462912410498e-12
2022-05-09,-10743.317448274465,-10743.317448274456,-10743.317448274456,-9.094947017729282e-12,-9.094947017729282e-12
2022-05-10,523.5656305826269,523.5656305825852,523.5656305825852,4.172306944383308e-11,4.172306944383308e-11
2022-05-11,-1287.180402720056,-1287.1804027201383,-1287.180402720138,8.230927051045e-11,8.208189683500677e-11
2022-05-12,-409.96285619790433,-409.96285619788773,-409.9628561978876,-1.659827830735594e-11,-1.6711965145077556e-11
2022-05-13,4599.157962925092,4599.15796292509,4599.157962925091,1.8189894035458565e-12,9.094947017729282e-13
2022-05-16,2329.1171820151503,2329.117182015226,2329.117182015226,-7.548806024715304e-11,-7.548806024715304e-11
2022-05-17,3142.5644010663964,3142.5644010663377,3142.5644010663377,5.866240826435387e-11,5.866240826435387e-11
2022-05-18,-9977.09158455045,-9977.091584550433,-9977.091584550435,-1.6370904631912708e-11,-1.4551915228366852e-11
2022-05-19,-1490.118127354188,-1490.1181273541627,-1490.1181273541624,-2.523847797419876e-11,-2.546585164964199e-11
2022-05-20,2706.2418687418103,2706.2418687418194,2706.2418687418194,-9.094947017729282e-12,-9.094947017729282e-12
2022-05-23,4359.536386318679,4359.536386318588,4359.536386318587,9.185896487906575e-11,9.276845958083868e-11
2022-05-24,500.7556298417039,500.75562984178225,500.75562984178225,-7.833023119019344e-11,-7.833023119019344e-11
2022-05-25,2579.95774480846,2579.957744808513,2579.957744808513,-5.275069270282984e-11,-5.275069270282984e-11
2022-05-26,4533.495388272742,4533.495388272634,4533.495388272634,1.0822986951097846e-10,1.0822986951097846e-10
2022-05-27,5553.479026237619,5553.479026237811,5553.479026237811,-1.9190338207408786e-10,-1.9190338207408786e-10
2022-05-30,0.0,0.0,0.0,0.0,0.0
2022-05-31,-4645.049145929981,-4645.0491459301475,-4645.049145930148,1.6643753042444587e-10,1.673470251262188e-10
2022-06-01,-1044.805465427169,-1044.8054654270861,-1044.8054654270861,-8.29913915367797e-11,-8.29913915367797e-11
2022-06-02,149.98839192191372,149.98839192186185,149.98839192186176,5.1869619710487314e-11,5.1954884838778526e-11
2022-06-03,-1475.9917109375237,-1475.9917109375244,-1475.9917109375247,6.821210263296962e-13,9.094947017729282e-13
2022-06-06,696.563945771195,696.5639457711751,696.5639457711751,1.9895196601282805e-11,1.9895196601282805e-11
2022-06-07,6073.964084562613,6073.964084562629,6073.964084562628,-1.6370904631912708e-11,-1.546140993013978e-11
2022-06-08,-133.4761455245316,-133.47614552458464,-133.47614552458458,5.303490979713388e-11,5.297806637827307e-11
2022-06-09,-6783.202314978291,-6783.20231497813,-6783.202314978131,-1.609805622138083e-10,-1.6007106751203537e-10
2022-06-10,-5877.55613188073,-5877.556131880826,-5877.556131880826,9.549694368615746e-11,9.549694368615746e-11
2022-06-13,-9199.039670044847,-9199.039670044926,-9199.039670044926,7.821654435247183e-11,7.821654435247183e-11
2022-06-14,-1700.023791946558,-1700.023791946531,-1700.0237919465305,-2.7057467377744615e-11,-2.751221472863108e-11
2022-06-15,1187.3688744768442,1187.3688744769076,1187.3688744769074,-6.343725544866174e-11,-6.320988177321851e-11
2022-06-16,-6039.394986578322,-6039.394986578332,-6039.394986578332,1.000444171950221e-11,1.000444171950221e-11
2022-06-17,-2983.609944490978,-2983.609944490923,-2983.6099444909237,-5.4569682106375694e-11,-5.411493475548923e-11
2022-06-20,0.0,0.0,0.0,0.0,0.0
2022-06-21,9682.02506239913,9682.025062399085,9682.025062399085,4.547473508864641e-11,4.547473508864641e-11
2022-06-22,1361.9409812851227,1361.9409812851193,1361.9409812851195,3.410605131648481e-12,3.183231456205249e-12
2022-06-23,1202.287249811634,1202.2872498116485,1202.2872498116483,-1.4551915228366852e-11,-1.432454155292362e-11
2022-06-24,6547.652403510176,6547.65240351009,6547.652403510089,8.549250196665525e-11,8.640199666842818e-11
2022-06-27,2331.420928112755,2331.4209281128547,2331.420928112854,-9.958966984413564e-11,-9.913492249324918e-11
2022-06-28,-2129.6902355775237,-2129.690235577575,-2129.690235577575,5.1386450650170445e-11,5.1386450650170445e-11
2022-06-29,116.80432359519182,116.80432359532979,116.80432359532975,-1.3797318842989625e-10,-1.3793055586575065e-10
2022-06-30,-2238.3858131204615,-2238.3858131205475,-2238.3858131205475,8.594724931754172e-11,8.594724931754172e-11
2022-07-01,2438.917572608916,2438.9175726088934,2438.917572608894,2.2737367544323206e-11,2.2282620193436742e-11
2022-07-04,0.0,0.0,0.0,0.0,0.0
2022-07-05,-1899.8199768590275,-1899.819976859012,-1899.819976859012,-1.546140993013978e-11,-1.546140993013978e-11
2022-07-06,406.1401506291586,406.1401506291167,406.14015062911676,4.189359970041551e-11,4.18367562815547e-11
2022-07-07,2047.4968457007199,2047.496845700818,2047.496845700818,-9.822542779147625e-11,-9.822542779147625e-11
2022-07-08,1470.2834828584455,1470.2834828583582,1470.2834828583582,8.731149137020111e-11,8.731149137020111e-11
2022-07-11,-1290.5923137494829,-1290.5923137495088,-1290.5923137495088,2.5920599000528455e-11,2.5920599000528455e-11
2022-07-12,-3083.989894428116,-3083.989894428086,-3083.9898944280862,-3.001332515850663e-11,-2.955857780762017e-11
2022-07-13,-1368.3638244581525,-1368.363824458155,-1368.3638244581555,2.5011104298755527e-12,2.9558577807620168e-12
2022-07-14,-232.51476979395375,-232.51476979385149,-232.51476979385146,-1.0226131053059362e-10,-1.0228973224002402e-10
2022-07-15,6990.077644875273,6990.077644875284,6990.077644875284,-1.0913936421275139e-11,-1.0913936421275139e-11
2022-07-18,-3533.4287259329576,-3533.428725933182,-3533.4287259331822,2.241904439870268e-10,2.2464519133791327e-10
2022-07-19,5024.7572922488325,5024.757292248973,5024.757292248972,-1.4006218407303095e-10,-1.3915268937125802e-10
2022-07-20,-1394.517754305678,-1394.5177543056534,-1394.5177543056534,-2.4556356947869062e-11,-2.4556356947869062e-11
2022-07-21,1068.0251985532814,1068.0251985532473,1068.0251985532473,3.410605131648481e-11,3.410605131648481e-11
2022-07-22,-743.8544605096104,-743.8544605096473,-743.8544605096472,3.694822225952521e-11,3.6834535421803594e-11
