,Portfolio-Value-diff,Summe Einzel-Tages-PnL,Abweichung
2021-12-28,-141.37341996413306,-141.37341996412349,-9.57811607804615e-12
2021-12-29,102.016885997582,102.01688599753717,4.482103577174712e-11
2021-12-30,-378.5683578562748,-378.5683578562353,-3.950617610826157e-11
2021-12-31,-534.4301327702997,-534.4301327703176,1.7962520360015333e-11
2022-01-03,-4161.228063577524,1478.076579224729,-5639.3046428022535
2022-01-04,-283.60050194873475,-283.6005019487472,1.2448708730516955e-11
2022-01-05,-2075.0831698108814,-2075.083169810906,2.4556356947869062e-11
2022-01-06,-332.2624915590277,-332.2624915589487,-7.901235221652314e-11
2022-01-07,-652.0181457567378,-652.0181457567575,1.9667822925839573e-11
2022-01-10,-199.04158440924948,-199.04158440929245,4.297362465877086e-11
2022-01-11,809.1835303857224,809.1835303857305,-8.071765478234738e-12
2022-01-12,306.0584538457042,306.05845384571853,-1.432454155292362e-11
2022-01-13,-1989.6612860989117,-1989.6612860988837,-2.7966962079517543e-11
2022-01-14,185.6091939371836,185.60919393715895,2.4641622076160274e-11
2022-01-17,0.0,0.0,0.0
2022-01-18,-1608.285350464197,-1608.2853504641932,-3.865352482534945e-12
2022-01-19,-720.1131916932354,-720.113191693233,-2.3874235921539366e-12
2022-01-20,-915.3827522312931,-915.3827522313042,1.1027623258996755e-11
2022-01-21,-2741.9426974676026,-2741.942697467603,4.547473508864641e-13
2022-01-24,-162.96861391109996,-162.9686139110947,-5.258016244624741e-12
2022-01-25,-937.137398105464,-937.1373981054551,-8.86757334228605e-12
2022-01-26,610.8630784954294,610.863078495381,4.831690603168681e-11
2022-01-27,-271.0757428603247,-271.0757428603056,-1.9099388737231493e-11
2022-01-28,2668.1484522891114,2668.1484522890887,2.2737367544323206e-11
2022-01-31,2097.077272786555,2097.07727278658,-2.5011104298755527e-11
2022-02-01,5864.093898220977,1210.5375328686573,4653.55636535232
2022-02-02,956.5093273124949,956.5093273124982,-3.296918293926865e-12
2022-02-03,-3247.1290127531684,-3247.1290127531734,5.002220859751105e-12
2022-02-04,877.8969020552468,877.89690205524,6.707523425575346e-12
2022-02-07,-541.1926597552083,-541.1926597551741,-3.4219738154206425e-11
2022-02-08,618.6536453611334,618.6536453611019,3.149125404888764e-11
2022-02-09,1261.8479078226374,1261.8479078226353,2.0463630789890885e-12
2022-02-10,-1832.0286437264876,-1832.028643726488,4.547473508864641e-13
2022-02-11,-2022.59525389818,-2022.5952538981887,8.640199666842818e-12
2022-02-14,100.68042648141272,100.68042648140724,5.4853899200679734e-12
2022-02-15,1962.2328608571552,1962.2328608571554,-2.2737367544323206e-13
2022-02-16,30.881330503092613,30.881330503103534,-1.092104184863274e-11
2022-02-17,-2172.1848158219364,-2172.1848158219273,-9.094947017729282e-12
2022-02-18,-753.9133732295595,-753.9133732295708,1.1254996934439987e-11
2022-02-21,0.0,0.0,0.0
2022-02-22,-1054.334027495148,-1054.3340274951381,-9.777068044058979e-12
2022-02-23,-1769.649805034278,-1769.6498050342725,-5.4569682106375694e-12
2022-02-24,1498.717068328493,1498.7170683284887,4.320099833421409e-12
2022-02-25,2021.850266714202,2021.850266714187,1.5006662579253316e-11
2022-02-28,-26.205473486770643,-26.205473486769705,-9.379164112033322e-13
2022-03-01,1249.228777984972,-1550.197018911241,2799.425796896213
2022-03-02,1284.4338751148898,1284.433875114875,1.4779288903810084e-11
2022-03-03,-645.0101945271017,-645.0101945271292,2.751221472863108e-11
2022-03-04,-584.8866281225928,-584.8866281225528,-4.001776687800884e-11
2022-03-07,-2568.8403086949256,-2568.8403086949115,-1.4097167877480388e-11
2022-03-08,-585.5030959910364,-585.5030959910706,3.4219738154206425e-11
2022-03-09,2501.143078321533,2501.1430783215546,-2.1827872842550278e-11
2022-03-10,-256.98547068203334,-256.98547068204743,1.4097167877480388e-11
2022-03-11,-1504.3580141342827,-1504.358014134279,-3.637978807091713e-12
2022-03-14,-628.3655932838446,-628.3655932838399,-4.774847184307873e-12
2022-03-15,2500.1995069494587,2500.1995069494524,6.366462912410498e-12
2022-03-16,2162.525855469925,2162.525855469904,2.091837814077735e-11
2022-03-17,1582.1084079552093,1582.108407955236,-2.6830093702301383e-11
2022-03-18,1509.7318059219979,1509.7318059219563,4.160938260611147e-11
2022-03-21,190.85480693590944,190.85480693598055,-7.111111699487083e-11
2022-03-22,1216.679519508587,1216.6795195085615,2.546585164964199e-11
2022-03-23,-1001.4399702720111,-1001.4399702720227,1.1596057447604835e-11
2022-03-24,1884.3919230415486,1884.3919230415197,2.887645678129047e-11
2022-03-25,408.1919846041128,408.19198460419415,-8.134293238981627e-11
2022-03-28,1097.9857518628123,1097.9857518627496,6.275513442233205e-11
2022-03-29,1072.5972962176602,1072.5972962176836,-2.3419488570652902e-11
2022-03-30,-463.8661911468371,-463.8661911468637,2.660272002685815e-11
2022-03-31,-1575.9268222622632,-1575.9268222622536,-9.549694368615746e-12
2022-04-01,-5688.878583987738,436.5859198877319,-6125.46450387547
2022-04-04,1199.2514078779786,1199.251407877971,7.73070496506989e-12
2022-04-05,-1264.8778470702819,-1264.8778470702816,-2.2737367544323206e-13
2022-04-06,-995.6277536076959,-995.6277536077067,1.0800249583553523e-11
2022-04-07,377.3595659051498,377.35956590516463,-1.4836132322670892e-11
2022-04-08,-368.6942136940197,-368.6942136940205,7.958078640513122e-13
2022-04-11,-2131.794796854694,-2131.7947968546723,-2.1827872842550278e-11
2022-04-12,-386.2158226274187,-386.2158226274346,1.5916157281026244e-11
2022-04-13,681.8782514620398,681.8782514620244,1.5347723092418164e-11
2022-04-14,-1188.2492408238177,-1188.249240823807,-1.0686562745831907e-11
2022-04-15,0.0,0.0,0.0
2022-04-18,146.99390938910074,146.99390938906936,3.1377567211166024e-11
